ticker,isin,nome,mercato,sedute,prima_seduta
A2A.MI,IT0001233417,A2A,MTAA,6801,2000-01-03
AAT.MI,IT0005548521,AATECH,EXGM,793,2023-07-03
ABC.MI,IT0005466294,ABC COMPANY,EXGM,3564,2012-07-30
ABP.MI,IT0005439861,A.B.P. NOCIVELLI,EXGM,1371,2021-03-30
ABT.MI,IT0005445280,ABITARE IN,MTAA,2631,2016-04-08
ABTG.MI,IT0005244030,ALFIO BARDOLLA,EXGM,2297,2017-07-28
AC5.MI,IT0001382024,ACINQUE,MTAA,6801,2000-01-03
ACE.MI,IT0001207098,ACEA,MTAA,6803,2000-01-03
ACQ.MI,IT0005443061,ACQUAZZURRA,EXGM,1334,2021-05-19
ADB.MI,IT0001006128,AEROPORTO G. M. BO,MTAA,2822,2015-07-14
ADV.MI,IT0005607715,ADVENTURE,EXGM,510,2024-08-08
AEDES.MI,IT0005708174,AEDES,MTAA,6801,2000-01-03
AEF.MI,IT0001384590,AEFFE,MTAA,4840,2007-07-24
AGAIN.MI,IT0005577090,CLOUDIA RESEARCH,EXGM,669,2023-12-22
AGP.MI,IT0005472730,ALTEA GREEN POWER,MTAA,1154,2022-02-02
AIM.MI,IT0005204729,4AIM SICAF,EXGM,2554,2016-07-29
AIM2.MI,IT0005440323,4AIM SICAF COMP 2,EXGM,1,2026-07-22
ALFO.MI,IT0005466039,ALFONSINO,EXGM,1201,2021-11-22
ALMS.MI,IT0005717241,ALIA MENTIS,EXGM,38,2026-06-29
AMB.MI,IT0004779515,AMBROMOBILIARE,EXGM,3716,2011-12-23
AMI.MI,IT0005664641,FRIENDS,EXGM,256,2025-08-12
AMP.MI,IT0004056880,AMPLIFON,MTAA,6348,2001-10-01
ANIM.MI,IT0004998065,ANIMA HOLDING,MTAA,3132,2014-04-16
ARBS.MI,IT0005386369,ARTERRA BIOSCIENCE,EXGM,1730,2019-10-28
ARIS.MI,NL0015000N33,ARISTON HOLDING,MTAA,1198,2021-11-26
ARN.MI,IT0004720733,ALERION,MTAA,6803,2000-01-03
ART.MI,IT0005528937,DEODATO.GALLERY,EXGM,899,2023-01-31
ASC.MI,IT0004093263,ASCOPIAVE,MTAA,4996,2006-12-12
ATON.MI,IT0005449464,ATON GREEN STORAGE,EXGM,1313,2021-06-18
AUTME.MI,IT0000084043,AUTOSTRADE MERID,MTAA,6802,2000-01-03
AVIO.MI,IT0005119810,AVIO,MTAA,2809,2015-07-31
AZM.MI,IT0003261697,AZIMUT,MTAA,5624,2004-07-07
B.MI,IT0004412497,BASTOGI SPA,MTAA,6801,2000-01-03
BAMI.MI,IT0005218380,BANCO BPM,MTAA,6801,2000-01-03
BAN.MI,IT0001033700,BASICNET,MTAA,6801,2000-01-03
BC.MI,IT0004764699,BRUNELLO CUCINELLI,MTAA,3629,2012-04-27
BDB.MI,IT0001041000,BCO DESIO BRIANZA,MTAA,6803,2000-01-03
BEC.MI,IT0001268561,B&C SPEAKERS,MTAA,4842,2007-07-20
BELL.MI,IT0005497042,BELLINI NAUTICA,EXGM,1058,2022-06-15
BES.MI,IT0005611642,BESTBE HOLDING,MTAA,6800,2000-01-03
BF.MI,IT0003516066,BOLOGNAFIERE,EXGM,21,2026-07-21
BFF.MI,IT0005244402,BFF BANK,MTAA,2374,2017-04-07
BFG.MI,IT0005187460,B.F.,MTAA,2281,2017-08-24
BGN.MI,IT0001031084,BANCA GENERALI,MTAA,5013,2006-11-15
BMED.MI,IT0004776628,BANCA MEDIOLANUM,MTAA,6803,2000-01-03
BMPS.MI,IT0005508921,BANCA MPS,MTAA,6801,2000-01-03
BO.MI,IT0003217335,BORGOSESIA,MTAA,6798,2000-01-03
BPE.MI,IT0000066123,BPER BANCA,MTAA,6803,2000-01-03
BRE.MI,NL0015001KT6,BREMBO,MTAA,6801,2000-01-03
BRI.MI,IT0000066180,BRIOSCHI,MTAA,6803,2000-01-03
BSS.MI,IT0003097257,BIESSE,MTAA,6417,2001-06-22
BST.MI,IT0003173629,BANCA SISTEMA,MTAA,2830,2015-07-02
BWZ.MI,IT0001487047,BEEWIZE,MTAA,6435,2000-08-01
BZU.MI,IT0001347308,BUZZI,MTAA,6801,2000-01-03
CAI.MI,IT0004329733,CAIRO COMMUNICAT,MTAA,6659,2000-07-19
CALT.MI,IT0003127930,CALTAGIRONE,MTAA,6801,2000-01-03
CBB.MI,IT0005377277,CLEANBNB,EXGM,1797,2019-07-24
CDG.MI,IT0005003782,CASTA DIVA GROUP,EXGM,3066,2014-07-22
CE.MI,IT0003121677,CREDEM,MTAA,6803,2000-01-03
CED.MI,IT0001472171,CALTAGIRONE EDIT,MTAA,6669,2000-07-07
CELL.MI,IT0005244618,CELLULARLINE,MTAA,2393,2017-03-15
CEM.MI,NL0013995087,CEMENTIR HOLDING,MTAA,6801,2000-01-03
CFL.MI,IT0005465619,COFLE,EXGM,1209,2021-11-15
CFV.MI,IT0005379604,CONFINVEST ORO,EXGM,1789,2019-08-01
CGF.MI,IT0005618043,COGEFEED,EXGM,453,2024-10-30
CIR.MI,IT0000070786,CIR,MTAA,6803,2000-01-03
CIRC.MI,IT0005344996,CIRCLE,EXGM,1980,2018-10-26
CLABO.MI,IT0005091324,CLABO,EXGM,2893,2015-03-31
CLE.MI,IT0005117848,CLASS EDITORI,MTAA,6803,2000-01-03
CLF.MI,IT0003025019,CALEFFI,MTAA,5273,2005-11-09
CLI.MI,IT0003023980,C. LATTE D'ITALIA,MTAA,6584,2000-11-03
CMB.MI,IT0001128047,CEMBRE,MTAA,6803,2000-01-03
CMTL.MI,IT0005632945,COM.TEL,EXGM,379,2025-02-19
COM.MI,IT0005246191,COMER INDUSTRIES,MTAA,1889,2019-03-13
COP.MI,IT0005379406,COPERNICO,EXGM,1784,2019-08-09
CORE.MI,IT0005461303,ALLCORE,EXGM,1211,2021-11-09
COSMO.MI,IT0005487670,FARMACOSMO,EXGM,1112,2022-04-01
CPR.MI,NL0015435975,CAMPARI,MTAA,6407,2001-07-06
CREG.MI,IT0005408593,CREACTIVES GROUP,EXGM,789,2023-07-06
CRL.MI,IT0005331019,CAREL INDUSTRIES,MTAA,2080,2018-06-11
CSP.MI,IT0001127874,CSP INT IND CALZE,MTAA,6803,2000-01-03
CUBE.MI,IT0005532483,CUBE LABS,EXGM,857,2023-03-27
CVG.MI,IT0005426215,CONVERGENZE,EXGM,1431,2021-01-05
CY4.MI,IT0005412504,CY4GATE,MTAA,1566,2020-06-24
CYB.MI,IT0005546103,CYBEROO,EXGM,1745,2019-10-07
D.MI,IT0001463063,DIRECTA SIM,EXGM,1182,2021-12-22
DAL.MI,IT0004053440,DATALOGIC,MTAA,6479,2001-03-28
DAN.MI,IT0000076502,DANIELI & C,MTAA,6803,2000-01-03
DANR.MI,IT0000076486,DANIELI & C RISP,MTAA,6803,2000-01-03
DATA.MI,IT0005468357,DATRIX,EXGM,1195,2021-12-03
DBA.MI,IT0005285942,DBA GROUP,EXGM,2201,2017-12-14
DDM.MI,IT0005659724,DEDEM,EXGM,270,2025-07-24
DEA.MI,IT0005600249,DIS ELET ADRIATICA,EXGM,535,2024-07-05
DEX.MI,IT0005543480,DEXELANCE,MTAA,825,2023-05-18
DGT.MI,IT0005089476,DIGITOUCH,EXGM,2834,2015-06-26
DHH.MI,IT0005203622,DHH,EXGM,2554,2016-07-27
DIA.MI,IT0003492391,DIASORIN,MTAA,4845,2007-07-19
DIB.MI,IT0001469995,DIGITAL BROS,MTAA,6594,2000-10-20
DIS.MI,LU2592315662,D'AMICO,MTAA,4898,2007-05-03
